,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,timestamp
0,1.022,0.031,-0.038,40.737766,-73.90369,-0.0022,-0.0276,-0.0086,0.16366838,4.224881,1490613531599
1,1.0025,0.0195333,-0.05476671,40.73777,-73.90369,-0.0050700647,-0.058263347,-0.005893342,0.16870071,4.354784,1490613531665
2,0.96650004,0.005166687,-0.057799928,40.737778,-73.90369,-0.010293259,-0.05777327,-0.007756661,0.17373301,4.484686,1490613531732
3,0.98,-0.0039,-0.0457,40.73778,-73.90368,4e-05,-0.04223,-0.00836,0.17876536,4.6145887,1490613531799
4,1.0185,-0.007366614,-0.106233165,40.73779,-73.90368,0.008673333,-0.0012933544,-0.01941996,0.18379766,4.7444916,1490613531865
5,1.0413667,0.0024332886,-0.098866455,40.737793,-73.90368,0.008770021,-0.012406753,-0.012446623,0.18882997,4.8743935,1490613531932
6,1.0013809,-0.011571429,-0.07414286,40.7378,-73.90368,-0.001425,-0.002175,-0.0136,0.19386229,5.0042963,1490613531999
7,0.99446666,-0.038366724,-0.072983384,40.737804,-73.90368,-0.004333359,-0.022891723,-0.05620839,0.19485289,5.029867,1490613532065
8,0.9901001,-0.039816737,-0.07929998,40.73781,-73.90368,-0.013674964,-0.013874901,-0.06545001,0.19578192,5.053849,1490613532132
9,1.00115,-0.00635,-0.0963,40.737812,-73.90368,-0.006425,-0.001125,-0.084575,0.19671097,5.0778313,1490613532199
10,0.99283314,0.06733325,-0.05524994,40.737816,-73.90368,-0.0007416028,-0.0008750647,-0.067816615,0.19764,5.1018133,1490613532265
11,0.9552667,0.109199904,-0.03986665,40.73782,-73.90368,0.008233365,-0.023049982,-0.036650017,0.19856906,5.1257954,1490613532332
12,0.94795,0.09315,0.00305,40.73782,-73.90368,0.0065,-0.03135,-0.00405,0.19949809,5.1497774,1490613532399
13,1.0457169,0.048516735,-0.06756657,40.737823,-73.90368,-0.010308273,-0.0036749232,-0.016199956,0.20042713,5.173759,1490613532465
