,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,steer,timestamp,turn
0,-1.013,0.002,0.314,40.758495,-73.97092,-0.0204,-0.0098,0.0307,-1.3596425,-2.413353,0.0,1489703921854,0
1,-0.96058315,0.11275016,0.20083317,40.758495,-73.97092,0.0045800926,0.023297926,-0.0057099536,-1.4157331,-2.5129132,0.0,1489703922187,0
2,-1.038167,-0.07000005,-0.014249914,40.758495,-73.97092,-0.00024501342,0.053963415,0.01463009,-1.5155382,-2.6900668,-5.1845955e-06,1489703922520,0
3,-0.9548947,0.13389474,0.0024736843,40.758495,-73.97092,0.008115,0.002765,-0.01326,-1.6153436,-2.8672202,2.5922977e-06,1489703922854,0
4,-0.9462669,0.09593321,0.3463332,40.758465,-73.97093,-0.01145681,-0.03914996,0.008440068,-1.8646989,-3.3041434,0.0421048,1489703923187,0
5,-0.9350006,0.07166589,0.14800085,40.758465,-73.97093,0.03393331,0.059003077,-0.042390034,-2.2306075,-3.943521,0.05589054,1489703923520,0
6,-1.0146,-0.0262,0.1308,40.758465,-73.97093,0.05138,-0.03489,-0.04378,-2.596516,-4.5828986,0.040255263,1489703923854,0
7,-0.9826674,0.022267066,-0.10513317,40.758427,-73.97096,-0.028293354,0.057510037,0.016819814,-2.6126618,-4.608716,0.014291769,1489703924187,0
8,-1.0469,0.060066603,-0.27516612,40.758427,-73.97096,-0.01819982,-0.035916347,-0.04988332,-2.3562167,-4.156348,2.5845086e-06,1489703924520,0
9,-1.09805,0.04425,-0.1313,40.758427,-73.97096,-0.015375,0.096,-0.0039,-2.0997717,-3.7039814,-2.5845086e-06,1489703924854,0
10,-1.0703831,0.055649474,-0.08951666,40.758392,-73.97099,-0.05722544,0.092358194,0.03830833,-1.8516417,-3.2662818,0.0,1489703925187,0
11,-1.0587164,0.08166626,-0.16124994,40.758392,-73.97099,0.009199619,0.061524503,-0.047783144,-1.6099913,-2.8400123,2.5845086e-06,1489703925520,0
12,-0.93085,0.06745,-0.0548,40.758392,-73.97099,-0.048175,0.02355,-0.007525,-1.3683412,-2.4137435,-2.5845086e-06,1489703925854,0
13,-0.9912334,0.09503312,-0.08189991,40.758366,-73.97101,-0.026906906,-0.017166741,-0.010979906,-1.154407,-2.036365,2.5845086e-06,1489703926187,0
14,-0.9916335,0.029900085,-0.06899988,40.758366,-73.97101,-0.008859974,0.0069534206,0.017913364,-0.9620731,-1.6970897,-2.5845086e-06,1489703926520,0
15,-1.0302,0.027,-0.025,40.758366,-73.97101,-0.00738,0.01976,0.003,-0.7697394,-1.3578144,0.0,1489703926854,0
