,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,steer,timestamp,turn
0,1.021,0.078,-0.139,40.928814,-73.87066,-0.0765,0.0337,-0.0228,-0.38816026,-6.3180876,0.0,1490279180234,0
1,0.9979997,0.034033116,-0.09903275,40.928814,-73.87066,-0.00825381,-0.03869973,-0.027513292,-0.38816026,-6.3180876,0.0,1490279180567,0
2,1.0190333,0.018700013,-0.022900574,40.928814,-73.87066,-0.05199989,-0.016146524,-0.0010667176,-0.38816026,-6.3180876,0.0,1490279180900,0
3,1.0244,0.0667,-0.1629,40.928814,-73.87066,-0.02224,0.0164,-0.00842,-0.33439577,-5.8501973,-0.24417281,1490279181234,0
4,1.0179832,0.058533203,-0.22658259,40.928814,-73.87066,0.0007998145,-0.052724764,-0.016549943,-0.25813416,-5.1865244,-0.42218298,1490279181567,0
5,0.96228313,0.006566724,-0.10523323,40.928814,-73.87066,-0.063283116,0.076266356,-0.017350055,-0.18187244,-4.5228496,-0.5465367,1490279181900,0
6,1.00355,0.04735,-0.0586,40.928764,-73.87067,-0.01565,-0.020825,-0.024425,-0.12982371,-3.954057,-0.42221338,1490279182234,0
7,0.9792496,0.04866675,0.028533204,40.928764,-73.87067,-0.046183385,0.023542067,-0.025150172,-0.08790665,-3.4249663,-0.4102638,1490279182567,0
8,1.0040953,0.07441258,-0.12595187,40.928764,-73.87067,0.0031414684,-0.063574724,-0.025299927,-0.045989543,-2.8958755,-0.56041455,1490279182900,0
9,1.1026,0.061,-0.0386,40.928726,-73.87067,0.00132,-0.05683,0.00923,-0.025722371,-2.8479424,-0.39236417,1490279183234,0
10,0.9803336,0.045,0.17460032,40.928726,-73.87067,-0.035526752,0.03753019,-0.025716633,-0.01451437,-3.0013442,-0.24039876,1490279183567,0
11,0.99173355,0.122933425,0.319933,40.928726,-73.87067,-0.15060261,0.054585885,-0.0050132005,-0.0033063588,-3.1547465,-0.21702842,1490279183900,0
12,1.0032,0.0386,0.1952,40.928696,-73.87067,-0.01096,0.00818,-0.03368,4.169249e-16,-3.40445,-0.060049307,1490279184234,0
13,1.0894998,0.14199951,0.07308219,40.928696,-73.87067,-0.10988656,0.10048829,-0.07756346,4.5243963e-16,-3.6944504,0.0,1490279184567,0
14,0.9855,-0.0011665771,0.10241625,40.928696,-73.87067,-0.038499977,-0.018815264,-0.0109699825,4.879544e-16,-3.9844503,0.0,1490279184900,0
15,1.03725,0.1065,0.07625,40.92866,-73.87067,0.014225,-0.04062,-0.006615,0.03215026,-4.161157,-0.44267437,1490279185234,0
16,1.001333,0.046416417,0.093250476,40.92866,-73.87067,0.0019683337,-0.024848329,-0.008063382,0.077753454,-4.2904572,-0.59554994,1490279185567,0
17,1.0308999,0.036366835,0.0004001709,40.92866,-73.87067,-0.014219022,-0.024825297,-0.02416035,0.123356685,-4.4197583,-0.5605019,1490279185900,0
18,1.0191,0.0545,0.0326,40.928616,-73.87067,-0.01308,0.00716,-0.01372,0.14825028,-4.424558,-0.32032165,1490279186234,0
19,0.9906999,0.03493318,0.024800513,40.928616,-73.87067,-0.05743372,0.0113404235,-0.023693305,0.16447815,-4.377263,-0.23286131,1490279186567,0
20,1.0806664,0.065233365,-0.04603407,40.928616,-73.87067,-0.039680064,-0.032500207,-0.0048666503,0.18070605,-4.329968,-0.2378752,1490279186900,0
21,1.0055,0.0521,-0.0108,40.928577,-73.87067,-0.03852,0.02916,-0.0245,0.19132994,-4.106285,-0.27794933,1490279187234,0
22,1.0955828,0.06643279,0.03405099,40.928577,-73.87067,-0.05829879,-0.050298177,0.015153218,0.19960889,-3.808795,-0.3322425,1490279187567,0
23,1.0261171,-0.04830017,0.047049988,40.928577,-73.87067,-0.0023433666,-0.057836503,-0.0279,0.20788784,-3.5113049,-0.3882823,1490279187900,0
24,1.16855,0.2075,-0.01145,40.928543,-73.87067,0.0596,-0.04491,0.063055,0.23617855,-3.560708,-0.40656036,1490279188234,0
25,0.8906831,-0.07960015,0.13821639,40.928543,-73.87067,-0.048100147,0.060890187,-0.032753363,0.27284297,-3.7552657,-0.3607672,1490279188567,0
26,1.0721996,0.2010666,0.17213368,40.928543,-73.87067,-0.035800282,0.054550476,-0.031600066,0.30950743,-3.949823,-0.32494584,1490279188900,0
27,0.9406,-0.0048,0.1218,40.92851,-73.87067,-0.0227,0.03055,-0.0011,0.3512343,-4.143655,-0.36452702,1490279189234,0
28,0.96686673,0.07266669,0.14199975,40.92851,-73.87067,-0.046499968,-0.001049801,-0.10093336,0.3950795,-4.337183,-0.35972232,1490279189567,0
29,1.0008001,0.03566675,0.09559984,40.92851,-73.87067,-0.007849945,-0.0514002,-0.0061499304,0.4389247,-4.530711,-0.32863238,1490279189900,0
30,0.968,0.0222,0.2092,40.928467,-73.87066,-0.03685,0.0797,-0.00425,0.46752214,-4.7468324,-0.09158589,1490279190234,0
31,0.97065,0.028649988,0.37494922,40.928467,-73.87066,-0.04451809,0.14140965,-0.0008950037,0.48973936,-4.972408,0.0,1490279190567,0
32,0.9764504,0.009833374,0.08943367,40.928467,-73.87065,-0.0027849646,0.009143601,-0.010266553,0.5119566,-5.197983,0.0,1490279190900,0
33,1.0183,0.02255,0.0497,40.928425,-73.87065,0.027505,-0.03873,-0.001265,0.51090944,-5.1873507,-4.2278558e-07,1490279191234,0
34,1.0769668,0.05813335,-0.06266699,40.928425,-73.87065,0.06430696,-0.12518883,0.0037467626,0.50012755,-5.077881,4.2278558e-07,1490279191567,0
35,1.0140002,0.037500158,-0.18933347,40.928425,-73.87064,0.0059534363,-0.027173456,-0.02229997,0.48934567,-4.96841,-4.2278558e-07,1490279191900,0
36,0.9725,0.017,-0.165,40.928375,-73.87064,-0.01598,-0.0058,-0.00866,0.44997102,-4.521704,-0.057998687,1490279192234,0
37,1.0453335,0.044666797,-0.08450077,40.928375,-73.87064,0.033006985,-0.026893986,-0.010193285,0.39863205,-3.933886,-0.103197746,1490279192567,0
38,1.0371668,0.05916676,-0.08433364,40.928375,-73.87064,0.018213458,-0.03405337,-0.000799939,0.34729302,-3.3460674,-0.13939561,1490279192900,0
39,1.029,0.034,-0.0595,40.92834,-73.87064,0.03032,-0.04746,-0.01506,0.33459488,-3.1960332,-0.05097053,1490279193234,0
40,0.9932666,0.02571671,0.18956682,40.92834,-73.87064,0.0016398438,-0.008593311,-0.010660009,0.3380656,-3.2291856,0.0,1490279193567,0
41,0.97608334,0.028433325,0.10281637,40.92834,-73.87064,0.03811854,-0.045200244,-0.033741765,0.3415363,-3.2623377,0.0,1490279193900,0
42,0.97885,0.03675,0.3763,40.92831,-73.870636,-0.014265,0.061105,-0.02271,0.35342062,-3.4930124,0.19907625,1490279194234,0
43,1.0000834,0.034449916,0.09901625,40.92831,-73.870636,0.04065354,-0.039611932,-0.019038323,0.36882555,-3.8063388,0.24293414,1490279194567,0
44,1.0592667,0.08686743,0.17233282,40.92831,-73.870636,-0.0033393726,-0.004973638,-0.00876659,0.38423046,-4.119665,0.20613803,1490279194900,0
45,1.0152,0.0284,0.1726,40.92828,-73.870636,-0.01227,-0.01125,-0.01479,0.41212225,-4.386918,-0.038398407,1490279195234,0
46,1.0099334,0.06273335,0.10673347,40.92828,-73.870636,-0.0068533765,-0.04259988,-0.011756649,0.44523907,-4.634893,-0.1203223,1490279195567,0
47,0.9509331,-0.040800415,0.14600018,40.92828,-73.870636,-0.015090038,-0.05198065,-0.030533496,0.4783559,-4.882868,-0.10805977,1490279195900,0
48,0.9775238,0.0017619048,0.11814286,40.92824,-73.870636,-0.03161,-0.02355,-0.01024,0.5079931,-5.07683,-0.1188637,1490279196234,0
49,0.8497493,0.018683167,0.25598383,40.92824,-73.870636,-0.116266176,0.10055819,-0.019408265,0.5361743,-5.248192,-0.11924784,1490279196567,0
50,1.0253335,0.038,0.14338303,40.92824,-73.87063,-0.0022250086,-0.01945833,-0.0214,0.56435555,-5.4195533,-0.1116616,1490279196900,0
51,0.99235,0.04005,0.0868,40.92819,-73.87063,-0.029525,-0.00715,-0.02105,0.63575715,-5.6400185,-0.48640954,1490279197234,0
52,0.9935665,0.048716735,0.10514996,40.92819,-73.87063,-0.042766776,0.014516946,-0.005541771,0.725244,-5.881031,-0.59879816,1490279197567,0
53,1.0291996,0.10039983,0.20816657,40.92819,-73.87062,-0.05663975,-0.017173348,-0.01082664,0.8147308,-6.122043,-0.5502921,1490279197900,0
54,1.05,0.1028,0.0796,40.928135,-73.87062,-0.028,0.00946,-0.01206,0.90302294,-6.180999,-0.7314471,1490279198234,0
55,0.9473334,0.0123333745,0.11573342,40.928135,-73.87061,-0.04114684,-0.03459287,-0.015433338,0.9908153,-6.1637754,-0.82015115,1490279198567,0
56,1.019,0.044800024,0.005700281,40.928135,-73.87061,-0.036000177,0.0010334778,-0.01820005,1.0786076,-6.1465516,-0.820959,1490279198900,0
57,1.043,0.083142854,-0.029428571,40.92808,-73.870605,-0.01813,-0.04601,-0.001915,1.0883031,-5.847748,-0.5894739,1490279199234,0
58,0.9487502,0.032000147,-0.12516667,40.92808,-73.870605,-0.07577152,-0.04826638,-0.0052116737,1.06532,-5.4311204,-0.5552318,1490279199567,0
59,1.0069168,0.0060834107,-0.17874986,40.92808,-73.8706,-0.04151654,-0.007081659,-0.015756654,1.042337,-5.014492,-0.6448339,1490279199900,0
60,0.991,0.005,-0.385,40.928032,-73.87059,0.01349,-0.0212,-0.002045,0.8419221,-3.9572954,-0.2681433,1490279200234,0
61,0.9868334,-0.025333155,-0.4496669,40.928032,-73.87059,-0.037706442,0.004771786,-0.016336642,0.5672628,-2.6320598,-0.15167361,1490279200567,0
62,1.0077999,-0.015799975,-0.26006663,40.928032,-73.87059,0.005229879,0.008823378,-0.0036267017,0.2926033,-1.3068233,-0.4582334,1490279200900,0
63,1.0056,0.0414,0.0016,40.928013,-73.87058,-0.01037,0.04799,-0.02386,0.16185784,-0.7006474,-0.38719907,1490279201234,0
64,0.9990667,0.0038666625,0.073666565,40.928013,-73.87058,-0.009616632,-0.0031833558,-0.014326636,0.09133157,-0.39535454,8.105191e-07,1490279201567,0
65,1.0177333,0.02780016,0.039133165,40.928013,-73.87058,0.02505333,-0.014509874,-0.0050100083,0.02080524,-0.09006137,0.0,1490279201900,1
66,0.99715,0.0189,0.07455,40.928013,-73.87058,-0.00918,0.001565,-0.015,0.0,-0.0,0.0,1490279202234,1
67,1.0096333,0.015366674,0.064349964,40.928013,-73.87058,-0.0042,-0.01171835,-0.013304992,0.0,-0.0,0.0,1490279202567,1
68,0.9958667,0.013583313,0.07368329,40.928013,-73.87058,-0.004563303,-0.011566724,-0.0134783285,0.0,-0.0,0.0,1490279202900,1
69,1.0061,0.02125,0.05595,40.928013,-73.87058,0.001005,-0.01348,-0.01485,0.0,-0.0,0.0,1490279203234,1
70,1.0019166,0.01673335,0.059083313,40.928013,-73.87058,-0.0005983118,-0.016214974,-0.015688328,0.0,-0.0,0.0,1490279203567,1
71,1.0071334,0.020166688,0.053566664,40.928013,-73.87058,0.0017666626,-0.016633289,-0.014600009,0.0,-0.0,0.0,1490279203900,1
72,1.0042,0.0224,0.0606,40.928013,-73.87058,-0.002,-0.0031,-0.016,0.0,-0.0,0.0,1490279204234,1
73,0.99923337,0.018,0.062166687,40.928013,-73.87058,-0.0062999865,-0.0009,-0.012500009,0.0,-0.0,0.0,1490279204567,1
74,1.004,0.015699988,0.06226665,40.928013,-73.87058,-0.002833329,-0.014833359,-0.011400009,0.0,-0.0,0.0,1490279204900,1
75,1.00405,0.01635,0.05135,40.928013,-73.87058,0.0021,-0.02004,-0.01699,0.0,-0.0,0.0,1490279205234,1
76,0.99485004,0.015850013,0.06633325,40.928013,-73.87058,-0.004268312,-0.0048166625,-0.01192668,0.0,-0.0,0.0,1490279205567,1
77,1.0042167,0.013300024,0.06039995,40.928013,-73.87058,-0.0026049914,-0.017401688,-0.012083338,0.0,-0.0,0.0,1490279205900,1
78,1.00455,0.0199,0.0609,40.928013,-73.87058,-0.00264,-0.001065,-0.017045,0.0,-0.0,0.0,1490279206234,1
79,1.0043,0.01586665,0.06341669,40.928013,-73.87058,-0.001610017,-0.014929978,-0.009894991,0.0,-0.0,0.0,1490279206567,1
80,1.0023333,0.021333313,0.05466664,40.928013,-73.87058,-0.00068999635,-0.0055533205,-0.016586658,0.0,-0.0,0.0,1490279206900,1
81,1.005,0.014,0.062,40.928013,-73.87058,-0.00242,-0.01725,-0.01169,0.0,-0.0,0.0,1490279207234,1
82,1.0033333,0.021333326,0.05333336,40.928013,-73.87058,-0.0011333252,-0.004963351,-0.015720017,0.0,-0.0,0.0,1490279207567,1
83,1.0053333,0.018,0.049333327,40.928013,-73.87058,0.001,-0.017490009,-0.013313342,0.0,-0.0,0.0,1490279207900,1
84,0.9989,0.01685,0.064,40.928013,-73.87058,-0.00505,-0.005365,-0.011635,0.0,-0.0,0.0,1490279208234,1
85,1.00415,0.018616663,0.05775006,40.928013,-73.87058,-0.0014833374,-0.008898346,-0.015963342,0.0,-0.0,0.0,1490279208567,1
86,1.0077167,0.016850011,0.050433327,40.928013,-73.87058,0.0022833373,-0.01758668,-0.013001671,0.0,-0.0,0.0,1490279208900,1
87,1.0027,0.01795,0.0611,40.928013,-73.87058,-0.00225,-0.01027,-0.0128,0.0,-0.0,0.0,1490279209234,1
88,1.0017667,0.018533349,0.054983385,40.928013,-73.87058,-0.001,-0.007883337,-0.015431671,0.0,-0.0,0.0,1490279209567,1
89,1.0032333,0.022533325,0.053599976,40.928013,-73.87058,-0.0018199915,-0.011453359,-0.012420022,0.0,-0.0,0.0,1490279209900,1
90,1.0025,0.0198,0.0607,40.928013,-73.87058,-0.00398,-0.00886,-0.01368,0.0,-0.0,0.0,1490279210234,1
91,0.99916667,0.018699989,0.06560002,40.928013,-73.87058,-0.0036133288,-0.00459332,-0.0140400175,0.0,-0.0,0.0,1490279210567,1
92,1.0035334,0.016766662,0.06149994,40.928013,-73.87058,-0.001,-0.009633337,-0.014180008,0.0,-0.0,0.0,1490279210900,1
93,1.0034,0.01825,0.057,40.928013,-73.87058,-0.001,-0.011375,-0.0131,0.0,-0.0,0.0,1490279211234,1
94,0.99955,0.018099975,0.058516663,40.928013,-73.87058,-0.0025166627,-0.010558334,-0.013716658,0.0,-0.0,0.0,1490279211567,1
95,1.0011834,0.019449988,0.0635333,40.928013,-73.87058,0.00065831176,-0.0075750086,-0.015824992,0.0,-0.0,0.0,1490279211900,1
96,1.00525,0.01725,0.05755,40.928013,-73.87058,0.000225,-0.01245,-0.0128,0.0,-0.0,0.0,1490279212234,1
97,1.0064833,0.015066651,0.05793335,40.928013,-73.87058,-0.0022833422,-0.014225048,-0.011574991,0.0,-0.0,0.0,1490279212567,1
98,1.0038,0.01593336,0.0589333,40.928013,-73.87058,-0.0020633289,-0.015829992,-0.013936671,0.0,-0.0,0.0,1490279212900,1
99,1.0006,0.018,0.0558,40.928013,-73.87058,-0.00177,-0.01237,-0.01357,0.0,-0.0,0.0,1490279213234,1
100,0.9996,0.016466662,0.057933327,40.928013,-73.87058,-0.00026667482,-0.01177332,-0.014596671,0.0,-0.0,0.0,1490279213567,1
101,1.0043333,0.015866663,0.058866724,40.928013,-73.87058,-0.0010333374,-0.010383307,-0.0139,0.0,-0.0,0.0,1490279213900,1
102,1.0015,0.016,0.057,40.928013,-73.87058,-0.002485,-0.012335,-0.0118,0.0,-0.0,0.0,1490279214234,1
103,1.0059167,0.017500024,0.05358329,40.928013,-73.87058,-0.0021,-0.01488668,-0.012483337,0.0,-0.0,0.0,1490279214567,1
104,1.0105,0.019916663,0.053500023,40.928013,-73.87058,-1.6662598e-05,-0.014783338,-0.011754987,0.0,-0.0,0.0,1490279214900,1
105,1.0075,0.0185,0.0595,40.928013,-73.87058,-0.00135,-0.01156,-0.0128,0.0,-0.0,0.0,1490279215234,1
106,1.0056032,0.01660318,0.05584132,40.928013,-73.87058,-0.00020002441,-0.013363483,-0.013131741,0.0,-0.0,0.0,1490279215567,1
107,1.0088667,0.016966663,0.057033338,40.928013,-73.87058,-0.0040600086,-0.013560008,-0.012660009,0.0,-0.0,0.0,1490279215900,1
108,1.0087,0.0185,0.0548,40.928013,-73.87058,-0.00276,-0.0163,-0.0124,0.0,-0.0,0.0,1490279216234,1
109,0.99786663,0.017099988,0.055600047,40.928013,-73.87058,-0.0021,-0.012326623,-0.012579987,0.0,-0.0,0.0,1490279216567,1
110,0.99916667,0.019933324,0.059033338,40.928013,-73.87058,0.00013999146,-0.012773328,-0.013966663,0.0,-0.0,0.0,1490279216900,1
111,1.0017,0.017,0.06115,40.928013,-73.87058,-0.001155,-0.013645,-0.014395,0.0,-0.0,0.0,1490279217234,1
112,1.0053166,0.015533301,0.062366676,40.928013,-73.87058,0.0006933203,-0.018903377,-0.013731649,0.0,-0.0,0.0,1490279217567,1
113,0.9993499,0.013266602,0.15061677,40.928013,-73.87058,-0.011551735,0.02811014,-0.016735047,0.0,-0.0,0.0,1490279217900,1
114,0.98665,0.03745,0.19155,40.928013,-73.87058,-0.00058,-0.013475,-0.004265,0.037026305,-0.16027883,0.0,1490279218234,1
115,0.9878095,0.0015079172,0.13836516,40.928013,-73.87058,-0.008633406,-0.0013998608,-0.0030166712,0.089545876,-0.38762462,-8.105191e-07,1490279218567,0
116,1.0072001,0.006533301,0.0740666,40.928013,-73.87058,-0.00054994016,-0.027466724,-0.0037166271,0.14206548,-0.61497056,0.0,1490279218900,0
117,1.014,0.0222,0.0424,40.92798,-73.8706,-0.00525,-0.0254,-0.0294,0.17483109,-0.7503996,-0.10722489,1490279219234,0
118,0.9965999,0.022200013,0.060000062,40.92798,-73.87059,-0.0028000341,-0.0068499865,-0.007783351,0.19933087,-0.84736705,-0.122302905,1490279219567,0
119,0.9961335,-0.012333313,0.14239979,40.92798,-73.87059,0.0078834435,-0.051716965,-0.00551661,0.22383067,-0.9443346,-0.0970978,1490279219900,0
120,1.013,0.0303,0.22065,40.927975,-73.87059,-0.006515,-0.00119,-0.03519,0.2310581,-0.97293997,-0.024935314,1490279220234,0
