,acceleration_x,acceleration_y,acceleration_z,gps_lat,gps_long,gyro_x,gyro_y,gyro_z,speed_x,speed_y,steer,timestamp,turn
0,-0.963,0.049,-0.286,40.82427,-73.83892,0.0,-0.0494,0.0867,-4.153842,8.986411,0.0,1490528701576,0
1,-0.975567,0.095767014,-0.26753354,40.82427,-73.83892,-0.0055301697,-0.042640038,0.006840027,-4.153842,8.986411,0.0,1490528701909,0
2,-0.9733498,0.17624982,-0.30331624,40.82427,-73.83892,-0.046477232,-0.00784975,0.024772713,-4.153842,8.986411,0.0,1490528702242,0
3,-0.9933,0.1059,-0.29055,40.82427,-73.83892,-0.14786,0.04071,0.05543,-4.153842,8.986411,0.0,1490528702576,0
4,-0.96855026,0.21833326,-0.37846622,40.82427,-73.83892,-0.11640689,-0.079320215,-0.00019691772,-4.153842,8.986411,0.0,1490528702909,0
5,-0.97123325,0.31045002,-0.3600501,40.824287,-73.83892,-0.18516004,0.010823341,-0.035839837,-3.8941584,8.424612,0.0,1490528703242,0
6,-1.01865,0.2638,-0.3346,40.82431,-73.83892,-0.2429,-0.0265,-0.08615,-3.5389142,7.6560774,-1.406938e-06,1490528703576,0
7,-0.9910998,0.27778348,-0.2724001,40.824333,-73.83892,-0.31695995,-0.016716767,-0.07163998,-3.18367,6.887543,0.0,1490528703909,0
8,-0.9818665,0.2733831,-0.17796667,40.82435,-73.83897,-0.38929945,-0.018650092,-0.04267997,-3.0052965,6.501651,2.813876e-06,1490528704242,0
9,-1.07095,0.1702,-0.155,40.824368,-73.83897,-0.40561,-0.0563,-0.029,-2.89201,6.256567,-1.406938e-06,1490528704576,0
10,-0.9086336,0.27923322,-0.064349964,40.824383,-73.83897,-0.46514004,-0.12529644,0.05219001,-2.7787235,6.011483,0.0,1490528704909,0
11,-1.0292002,0.43296692,-0.109200194,40.82439,-73.839005,-0.51839644,0.058846768,-0.008313625,-1.0659304,5.191585,13.205418,1490528705242,3
12,-1.0219,0.1672,-0.02205,40.824394,-73.839,-0.54112,-0.13113,0.04859,1.2354622,4.1601634,28.142733,1490528705576,3
13,-0.97291666,0.45183337,0.019816663,40.824398,-73.83899,-0.5002034,-0.016133508,-0.14440633,3.5368547,3.1287413,31.96359,1490528705909,3
14,-1.0256665,0.15994988,-0.031900026,40.82441,-73.83894,-0.5298166,-0.044590052,0.01717342,4.505025,2.1869814,15.601902,1490528706242,3
15,-0.9923,0.296,0.0635,40.82442,-73.83889,-0.53051,0.00277,0.01128,4.982582,1.2782174,11.506215,1490528706576,3
16,-0.99334997,0.13205014,0.1411998,40.82443,-73.83882,-0.4425933,-0.043303337,-0.03106654,5.4601398,0.36945337,10.517271,1490528706909,3
17,-1.0249667,0.021133203,0.16003336,40.82443,-73.83878,-0.28335655,-0.04538991,-0.008751576,5.8931093,0.13180622,2.5896723,1490528707242,5
18,-1.0127,-0.027,0.1905,40.82443,-73.83876,-0.135455,-0.059285,0.01105,6.3096724,0.14112313,0.0,1490528707576,0
19,-1.0131333,-0.013100036,0.17489985,40.82443,-73.83873,-0.10783839,-0.027983338,0.023204992,6.726235,0.15044004,0.0,1490528707909,0
20,-1.0187334,-0.003166809,0.19679983,40.82443,-73.83871,-0.050645176,-0.011685047,-0.021034986,7.2865243,0.16297157,-1.09281935e-07,1490528708242,0
21,-1.0432,-0.0097,0.1207,40.82443,-73.83867,-0.071105,-0.018295,-0.03719,7.8997045,0.17668605,1.09281935e-07,1490528708576,0
22,-1.0402663,-0.087833434,0.16716668,40.82443,-73.83864,-0.0059417663,-0.014491705,0.020783264,8.512884,0.19040053,0.0,1490528708909,0
23,-1.0404336,-0.077599905,0.13583319,40.824432,-73.83861,0.014946836,-0.035670094,0.020910017,9.014006,0.20160869,0.0,1490528709242,0
24,-1.0725,-0.1107,0.1074,40.824432,-73.83858,0.02314,-0.050485,0.02082,9.473891,0.21189454,1.0928191e-07,1490528709576,0
25,-1.0462663,-0.10423309,0.09336664,40.824432,-73.83855,0.046143383,-0.039826598,-0.00441517,9.933776,0.22218041,-1.0928191e-07,1490528709909,0
26,-0.9654,-0.074267015,0.07316693,40.824432,-73.83851,0.078204885,-0.015133325,-0.00337161,10.186596,0.22783503,0.0,1490528710242,0
27,-0.9306,-0.112,0.1141,40.824432,-73.83846,0.053315,-0.046915,-0.01898,10.363219,0.23178539,1.0928191e-07,1490528710576,0
28,-0.98976654,-0.1615332,0.11676654,40.824432,-73.838425,0.045270465,-0.05136638,-0.002503279,10.539842,0.23573577,-1.0928191e-07,1490528710909,0
29,-1.0069,-0.10520005,0.10209996,40.824436,-73.83838,0.05334493,-0.012648376,0.018381432,10.726208,0.23990406,0.0,1490528711242,0
30,-0.983,-0.0846,0.1027,40.824436,-73.83833,0.06884,0.017935,0.014845,10.916161,0.24415258,0.0,1490528711576,0
31,-1.0020336,-0.055,0.079066776,40.824436,-73.83829,0.019655053,-0.0022,0.015469978,11.1061125,0.24840108,0.0,1490528711909,0
32,-0.99443346,-0.04559978,0.14263302,40.824436,-73.83824,0.00868346,-0.04836179,-0.03901996,11.266159,0.33569914,-0.42547145,1490528712242,0
33,-1.0298,-0.0428,0.0922,40.82444,-73.8382,0.000195,-0.038115,0.00396,11.415202,0.45355844,-0.56858313,1490528712576,0
34,-0.97324955,-0.069700025,0.13829973,40.82444,-73.83816,0.03426668,-0.006066798,-0.061366305,11.564245,0.5714178,-0.5534972,1490528712909,0
35,-1.0457833,-0.0801334,0.023316639,40.824444,-73.83811,0.037466574,0.012733345,-0.0022330335,11.588736,0.6895853,-0.57653344,1490528713242,0
36,-0.97425,-0.0849,-0.00265,40.824444,-73.838066,0.076,-0.0234,-0.0044,11.567392,0.8078663,-0.58969015,1490528713576,0
37,-0.99525005,-0.09176657,-0.010433326,40.824448,-73.83802,0.061733108,-0.032999806,0.004533442,11.54605,0.9261472,-0.59101826,1490528713909,0
38,-1.0132167,0.024682874,-0.035233326,40.82445,-73.837975,0.023233851,-0.008766571,-0.024299435,11.570583,1.3343377,-1.9923124,1490528714242,4
39,-0.98935,-0.13535,0.02175,40.824455,-73.83792,0.0964,-0.0191,-0.0109,11.612001,1.8492116,-2.4699955,1490528714576,4
40,-1.0090666,-0.10136653,0.036066554,40.82446,-73.83787,0.049965996,0.034200363,0.08073303,11.653419,2.3640854,-2.4193785,1490528714909,4
41,-0.94766676,-0.104933545,0.10293355,40.824467,-73.83782,0.0960323,-0.06506682,-0.032533713,11.7015705,2.6705832,-1.3883487,1490528715242,4
42,-1.02735,-0.0634,0.0728,40.82448,-73.83777,0.0824,-0.0373,0.0094,11.752201,2.900401,-1.007257,1490528715576,4
43,-1.1446817,-0.10334843,0.01983313,40.824486,-73.837715,0.16026615,0.046666406,0.055832274,11.80283,3.1302187,-0.99006605,1490528715909,0
44,-1.0081334,-0.1625661,0.11456584,40.824497,-73.83767,0.039233107,0.026099939,0.07119932,11.926172,3.3303723,-0.7489158,1490528716242,0
45,-1.2198,-0.15895,0.1931,40.824505,-73.83763,0.0975,0.0798,-0.0314,12.076273,3.5196102,-0.64633656,1490528716576,0
46,-0.9811331,-0.11294936,0.12336604,40.824516,-73.837585,0.06999994,0.034066692,-0.02266655,12.226374,3.7088478,-0.6263992,1490528716909,0
47,-1.0591332,-0.14008307,0.03781676,40.824528,-73.83753,0.030332958,0.005900156,0.077999935,12.3679905,3.912912,-0.6809461,1490528717242,0
48,-0.99405,0.002,0.0146,40.82454,-73.83749,-0.0085,-0.0548,-0.0747,12.506487,4.1224318,-0.68741155,1490528717576,0
49,-0.9506171,-0.049566675,0.045616835,40.82455,-73.83743,0.01353325,0.047066506,0.067633145,12.644981,4.331951,-0.6671358,1490528717909,0
50,-1.0012501,-0.063133396,0.063,40.824566,-73.83739,0.0099670235,-0.0018330567,0.01459989,12.7645645,4.5595055,-0.7461695,1490528718242,0
51,-1.172,-0.059,-0.058,40.824577,-73.83733,0.117565,0.089015,0.027775,12.87719,4.793697,-0.7616812,1490528718576,0
52,-0.9839992,-0.0096672,0.084999874,40.824593,-73.83728,0.03333736,0.006665306,-0.017421452,12.989814,5.027888,-0.74120057,1490528718909,0
53,-0.9699997,-0.054333277,0.0036666137,40.824608,-73.83723,0.041179962,0.0152919,-0.011775091,13.01784,5.089998,-0.1959629,1490528719242,0
54,-1.041,-0.087,-0.042,40.824623,-73.83717,0.10942,-0.061385,-0.05892,13.014737,5.088784,1.8114863e-06,1490528719576,0
55,-0.9266665,0.0053330325,-0.062666066,40.82464,-73.83713,0.03487833,-0.036444712,-0.016304934,13.011633,5.08757,0.0,1490528719909,0
56,-0.98866636,-0.04866632,-0.021000538,40.824654,-73.837074,0.014314853,0.04975674,-0.0058733546,12.93137,5.0561876,-1.8114863e-06,1490528720242,0
57,-0.991,-0.065,-0.035,40.824673,-73.83702,-0.061595,-0.04196,0.01087,12.822714,5.0137033,0.0,1490528720576,0
58,-1.0196667,-0.06833296,-0.0949999,40.824688,-73.83697,0.00054378173,0.041893527,0.079399705,12.714057,4.9712186,-1.8114865e-06,1490528720909,0
59,-0.98633343,-0.023333265,-0.0026665162,40.82469,-73.836945,-0.03359626,0.0091483,0.0217115,12.437469,4.8630714,1.8114865e-06,1490528721242,0
60,-1.005,-0.019,-0.242,40.824696,-73.83694,0.03169,0.000905,-0.01471,12.099083,4.7307615,3.6229721e-06,1490528721576,0
61,-0.9313338,0.03699989,-0.53733295,40.8247,-73.83692,-0.0021818713,0.004698363,0.037686806,11.760696,4.5984526,-3.6229721e-06,1490528721909,0
62,-1.0286666,0.057333507,-0.5146667,40.824726,-73.83686,0.015607929,-0.10141473,-0.010178541,10.739651,5.2363,-4.6367545,1490528722242,2
63,-0.939,-0.008,-0.535,40.824764,-73.83679,-0.01685,0.025435,0.00501,9.467395,6.1575575,-7.047485,1490528722576,2
64,-0.98199993,0.10733302,-0.5366665,40.82481,-73.83673,-0.0036516492,0.035926484,0.013766724,8.195138,7.078814,-7.780044,1490528722909,2
65,-0.9776667,0.09666657,-0.5926665,40.824833,-73.83671,-0.0055465624,-0.044301543,-0.015673207,6.47925,6.0450373,-2.194505,1490528723242,4
66,-1.004,0.048,-0.511,40.82484,-73.8367,0.03185,-0.01763,-0.02998,4.600111,4.291831,-3.178579e-06,1490528723576,0
67,-0.9818095,0.01728575,-0.38711116,40.824844,-73.83669,-1.6766357e-05,-0.022833178,0.022370169,2.720972,2.538624,0.0,1490528723909,0
68,-0.9781999,0.025183264,-0.32401663,40.824852,-73.836685,-0.0017500306,-0.035763253,0.016173242,1.7326564,1.616541,3.178579e-06,1490528724242,0
69,-0.96905,0.0171,-0.2564,40.824856,-73.83668,-0.00541,-0.02974,-0.00058,1.072155,1.0003036,0.0,1490528724576,0
70,-0.9790501,0.0043000244,-0.14961666,40.82486,-73.83667,0.001139961,-0.024740083,0.00784678,0.41165352,0.38406625,-3.178579e-06,1490528724909,0
71,-1.0257,0.0022999756,-0.037766576,40.82486,-73.83667,-0.00027665406,-0.028196698,-0.011753186,0.17696565,0.16510616,0.0,1490528725242,1
72,-0.98505,0.00015,-0.0403,40.82486,-73.83667,-0.00477,-0.01722,0.01854,0.09897287,0.092340134,0.0,1490528725576,1
73,-0.9867168,-0.007099927,-0.024916686,40.82486,-73.83667,-0.0047333376,-0.024443273,0.016813321,0.020980084,0.019574087,0.0,1490528725909,1
74,-0.9768334,-0.009133349,-0.024116712,40.82486,-73.83667,-0.0037666017,-0.030906592,0.013376471,0.0,0.0,0.0,1490528726242,1
75,-0.98255,-0.014,-0.02165,40.82486,-73.83667,-0.00622,-0.0117,-0.01418,0.0,0.0,0.0,1490528726576,1
76,-1.0071166,-0.0041333986,-0.01828341,40.82486,-73.83667,0.001443407,-0.018383307,-0.0149500305,0.0,0.0,0.0,1490528726909,1
77,-1.0239499,0.0024666016,-0.0274666,40.82486,-73.83667,-0.0042966492,-0.0134367375,-0.0056397826,0.0,0.0,0.0,1490528727242,1
78,-1.00945,1e-04,-0.02,40.82486,-73.83667,-0.0091,-0.02714,0.01558,0.0,0.0,0.0,1490528727576,1
79,-0.9832668,-0.01418324,-0.020916687,40.82486,-73.83667,0.0014699744,-0.022253342,0.018250091,0.0,0.0,0.0,1490528727909,1
80,-0.9817502,-0.009883288,-0.025733301,40.82486,-73.83667,0.0058866576,-0.024236627,-0.0069967713,0.0,0.0,0.0,1490528728242,1
81,-1.01995,0.0031,-0.02715,40.82486,-73.83667,-0.00502,-0.00727,-0.01703,0.0,0.0,0.0,1490528728576,1
82,-1.0022001,-0.0037832886,-0.020766675,40.82486,-73.83667,-0.0010167053,-0.028509948,0.011693242,0.0,0.0,0.0,1490528728909,1
83,-0.9855168,-0.011033276,-0.022716662,40.82486,-73.83667,0.005183295,-0.022726636,0.0025299133,0.0,0.0,0.0,1490528729242,1
84,-1.0123684,-0.0016842105,-0.023368422,40.82486,-73.83667,0.00051,-0.011145,-0.007225,0.0,0.0,0.0,1490528729576,1
85,-0.99143344,-0.007933277,-0.02623329,40.82486,-73.83667,0.0,-0.02396833,0.0096,0.0,0.0,0.0,1490528729909,1
86,-0.99526674,-0.0075999754,-0.028966613,40.82486,-73.83667,0.00043165404,-0.012571688,-0.010709978,0.0,0.0,0.0,1490528730242,1
87,-1.0092,-1e-04,-0.02,40.82486,-73.83667,-0.00419,-0.02579,0.0008,0.0,0.0,0.0,1490528730576,1
88,-0.9935667,-0.009300012,-0.022166686,40.82486,-73.83667,0.0031150086,-0.024895014,-0.001441571,0.0,0.0,0.0,1490528730909,1
89,-1.0079,-0.0014000244,-0.025366638,40.82486,-73.83667,-0.0012566235,-0.009591693,-0.00088159303,0.0,0.0,0.0,1490528731242,1
90,-0.9873,-0.0044,-0.033,40.82486,-73.83667,-0.00147,-0.020595,-0.00728,0.0,0.0,0.0,1490528731576,1
91,-1.0024334,-0.0053666136,-0.01976671,40.82486,-73.83667,0.0033066405,-0.01767497,0.00552829,0.0,0.0,0.0,1490528731909,1
92,-0.9981334,-0.007966613,-0.020933349,40.824856,-73.83667,-0.0056116492,-0.014103342,-0.0067582945,0.0,0.0,0.0,1490528732242,1
93,-0.993,-0.0124,-0.0293,40.824856,-73.83667,0.01187,-0.02222,0.0133,0.0,0.0,0.0,1490528732576,1
94,-1.0045333,-0.0006999878,-0.01773335,40.824856,-73.83667,-3.3325196e-05,-0.021358307,0.0014199219,0.0,0.0,0.0,1490528732909,1
95,-0.9962667,-0.007199951,-0.025533326,40.82486,-73.83667,-0.005043303,-0.017918333,-0.0127366185,0.0,0.0,0.0,1490528733242,1
96,-0.9868,-0.0116,-0.0283,40.82486,-73.83667,0.006265,-0.02884,0.0064,0.0,0.0,0.0,1490528733576,1
97,-1.0076333,-0.0043999758,-0.019066723,40.82486,-73.83667,-0.0021366577,-0.010211627,0.0023982727,0.0,0.0,0.0,1490528733909,1
98,-0.9917001,-0.009966614,-0.029,40.82486,-73.83667,-0.006941632,-0.012113321,-0.0020183336,0.0,0.0,0.0,1490528734242,1
99,-0.9953,-0.0091,-0.0203,40.82486,-73.83667,0.009315,-0.0195,0.010085,0.0,0.0,0.0,1490528734576,1
100,-1.0069,-0.004900037,-0.020399975,40.82486,-73.83667,-0.0048533203,-0.0201,-0.0077883727,0.0,0.0,0.0,1490528734909,1
101,-0.9873001,-0.013983289,-0.027349964,40.824856,-73.83668,0.0052825147,-0.030572986,0.0021221272,0.0,0.0,0.0,1490528735242,1
102,-1.0115,-0.002,-0.0183,40.824856,-73.83668,-0.00186,-0.02656,0.00388,0.0,0.0,0.0,1490528735576,1
103,-0.99281657,-0.006866699,-0.030150086,40.824856,-73.83668,-0.0001599524,-0.018193351,-0.001,0.0,0.0,0.0,1490528735909,1
104,-0.9986333,-0.0041833376,-0.022466699,40.82486,-73.83667,0.002686654,-0.030426588,0.007186593,0.0,0.0,0.0,1490528736242,1
105,-1.0071,0.00195,-0.02145,40.82486,-73.83667,-0.0017,-0.02144,-0.0059,0.0,0.0,0.0,1490528736576,1
106,-0.99704987,-0.009600097,-0.028316712,40.82486,-73.83667,-0.00030663697,-0.019460045,-0.001906576,0.0,0.0,0.0,1490528736909,1
107,-0.9997832,-0.0044834106,-0.0229334,40.82486,-73.83667,0.00028000853,-0.0140800085,0.010566632,0.0,0.0,0.0,1490528737242,1
108,-1.00605,-0.0016,-0.02735,40.82486,-73.83667,-0.00122,-0.01632,-0.00292,0.0,0.0,0.0,1490528737576,1
109,-0.99829996,-0.008733398,-0.02525006,40.82486,-73.83667,0.0027400781,-0.020580053,-0.0015332642,0.0,0.0,0.0,1490528737909,1
110,-1.0058665,-0.0019333984,-0.023666749,40.82486,-73.83667,-0.0017866235,-0.0308,0.0022133032,0.0,0.0,0.0,1490528738242,1
111,-1.0002,-0.0042,-0.0234,40.82486,-73.83667,-0.00064,-0.01634,-0.00294,0.0,0.0,0.0,1490528738576,1
